long,lat,fr
35.7235471783873,31.6822813967507,Monts Abarim
35.5803781991821,33.2577033933823,Abel Maïm
35.1023412581567,33.0485981736681,Achzib
16.7352010877973,40.2208984543028,Aciri
35.3486462894152,31.8813663092477,Vallée de Acor
34.822977032364,31.8600682231551,Acron
23.7258766749851,37.9715537092891,Acropole
35.2809970897732,31.791700904952,Adomin (mont)
35.7041744988012,32.7800841602005,Aféca
35.3332630039967,31.9894926808067,Ain Samieh
35.9455842350175,32.841983861494,"Al Allan, nahr"
35.4030355361795,31.9501909065593,Al Aujah wadi
35.2915728760959,31.946568207633,"Al Aïn, wadi"
35.9881071386423,36.0518853154235,Al Mina
36.0603689604799,32.8397442530325,Al Ruqqah wadi
35.1677040749146,33.1511282117883,Alexandroscène
36.032284230837,36.335971688198,Aman
35.5057053518906,32.8653078798978,"Amud, wadi"
34.0112849168355,39.0071391687981,Anatolie
36.1538374394675,36.1528781036378,Antigonéa ?
35.3396798309193,36.995146667991,Antioche de Cilicie
36.1568074417971,36.1990474445934,Antioche sur l'Oronte
34.9309466234329,32.1058939752126,Antipatris Afeca
35.4724826209454,32.7906949460147,Aqueduc ?
39.0398075978795,30.1240773407222,Arabie
35.4889789069816,32.8124937578064,Arbel de Galilée
35.4875973260535,32.8236121188345,Arbel gorges
35.9066542014769,32.5649808973708,Arbela
35.0166922176443,32.0269542040498,Arimathie ?
23.7231054790333,37.972406103452,Aréopage
34.5477376352198,31.6633681511572,Ascalon
35.2086394694006,31.858693441287,Atarot
36.1309613374407,32.4900022846043,"Auran, mont"
36.1702218308742,32.6715358512417,Auranitide
34.9617841697591,31.8672459527061,"Ayalon, vallée"
34.9374211206829,31.7005264558161,Azeco
34.6601549418528,31.7565341130381,Azot
36.1766417084336,33.0845175810977,Aëra
35.2615468606235,31.9168166242831,Aï
44.4255620238414,32.5398886961795,Babylone
36.0851110074913,33.002200814952,Bashân
36.085971174404,32.9027996829728,Batanée
35.2369801090505,31.7800057972275,Bel Midrasch
35.5093461369669,31.9503478237621,Belle Eau ?
35.2367053639852,31.7785546293372,Belle Porte
35.3978639885605,32.3681791855459,Berger samaritain
35.4835057970462,33.8917736259454,Beritus
34.7851260023644,31.2593570297393,Bersabée
35.5499294387367,31.853185520182,Betabara
35.5139101375576,31.8273275029339,Betagla
34.9785531993431,31.7198269797963,Betginna
35.2565742394256,31.8957389242748,Beth Aven
34.975255324316,31.7512116896549,Beth Shemesh
34.8954583333333,31.6080528039458,Bethléchi
35.1924049170991,32.7358936851099,Bethléem de Galilée
35.2076122051297,31.7044325694036,Bethléem La grotte
35.2511060603732,31.7758223795062,Bethphagé
35.6305828176177,32.9111642883132,Bethsaïda
35.0941818714657,31.5894458701295,Bethsur
35.6237707795341,32.1945545943308,Betjaboc ?
35.5039853528465,32.5037872656416,Betscan/Scythopolis
